date_time,total_return (%),NAV,Drawdown(%)
24/04/2022,0.016218497,3.06327801,-1.625902703
25/04/2022,0.112271109,3.066717186,-1.515457014
26/04/2022,0.861933041,3.093150235,-0.666586197
27/04/2022,0.494948677,3.108459741,-0.17493678
28/04/2022,-0.530980379,3.09195443,-0.704988279
29/04/2022,1.67807408,3.143839715,0
30/04/2022,-0.920452942,3.11490215,-0.920452942
01/05/2022,0.143197021,3.119362597,-0.778573981
02/05/2022,-0.477118,3.104479557,-1.251977264
03/05/2022,1.674135841,3.156452762,0
04/05/2022,-3.812828391,3.036102635,-3.812828391
05/05/2022,4.910088449,3.18517796,0
06/05/2022,0.995344903,3.216881466,0
07/05/2022,1.395229711,3.261764352,0
08/05/2022,2.928722343,3.357292373,0
09/05/2022,8.543224978,3.644113414,0
10/05/2022,-2.682632681,3.546355237,-2.682632681
11/05/2022,5.023176464,3.724494918,0
12/05/2022,1.180299014,3.768455095,0
13/05/2022,-1.859865277,3.698366907,-1.859865277
14/05/2022,-1.653659828,3.637208499,-3.48276926
15/05/2022,-2.633410206,3.541425879,-6.024463865
16/05/2022,3.157095701,3.653232084,-3.057566253
17/05/2022,-1.238066185,3.608002653,-4.257777744
18/05/2022,3.508128088,3.734576007,-0.899017953
19/05/2022,-2.918680137,3.625575679,-3.791458632
20/05/2022,1.854452704,3.692810265,-2.007316735
21/05/2022,-0.428030237,3.677003921,-2.426755049
22/05/2022,-1.619548913,3.617453044,-4.007001477
23/05/2022,2.009169831,3.690133819,-2.078339111
24/05/2022,-0.585609278,3.668524053,-2.651777443
25/05/2022,0.141213689,3.673704511,-2.514308427
26/05/2022,0.756251121,3.701486942,-1.777071792
27/05/2022,0.402926615,3.716401219,-1.381305472
28/05/2022,-0.23818939,3.707549145,-1.616204739
29/05/2022,-0.402925712,3.692610476,-2.012618346
30/05/2022,-0.660089218,3.668235953,-2.659422487
31/05/2022,-0.738354619,3.641151363,-3.378141137
01/06/2022,1.077248198,3.680375601,-2.337283904
02/06/2022,-0.289530656,3.669719785,-2.620047406
03/06/2022,0.369713038,3.683287217,-2.260021025
04/06/2022,-0.004910933,3.683106334,-2.26482097
05/06/2022,0.029314548,3.68418602,-2.236170344
06/06/2022,-0.794605658,3.654911269,-3.013007265
07/06/2022,1.014739797,3.691999108,-2.028841653
08/06/2022,1.069572847,3.731487728,-0.980968745
09/06/2022,-0.021805391,3.730674063,-1.002560232
10/06/2022,0.590593371,3.752707177,-0.417887915
11/06/2022,0.156519032,3.758580877,-0.262022958
12/06/2022,3.232733999,3.880085799,0
13/06/2022,7.065426565,4.154230412,0
