Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,485614460,2024-10-08 22:20:14.127,1728397214127,sell,143.35,1.98,283.833,0,-0.1419165
SOL/USDT:USDT,485696988,2024-10-08 23:35:14.088,1728401714088,sell,141.36,5.01,708.2136,0,-0.3541068
SOL/USDT:USDT,486406023,2024-10-10 00:50:14.272,1728492614272,sell,140.69,1.98,278.5662,0,-0.1392831
SOL/USDT:USDT,486515103,2024-10-10 04:20:14.314,1728505214314,sell,139.79,0.57,79.6803,0,-0.03984015
SOL/USDT:USDT,486515104,2024-10-10 04:20:14.314,1728505214314,sell,139.79,0.59,82.4761,0,-0.04123805
SOL/USDT:USDT,486665800,2024-10-10 09:20:14.872,1728523214872,sell,139.05,2.08,289.224,0,-0.144612
SOL/USDT:USDT,486808775,2024-10-10 17:25:14.238,1728552314238,sell,137.94,1.19,164.1486,0,-0.0820743
SOL/USDT:USDT,487686078,2024-10-11 20:30:14.264,1728649814264,buy,142.54,1.13,161.0702,0.0921212906057948,-0.0805351
SOL/USDT:USDT,487810163,2024-10-11 23:15:14.104,1728659714104,buy,145.39,11.59,1685.0701,-32.0866453467954316,-0.84253505
SOL/USDT:USDT,487882157,2024-10-12 01:15:14.232,1728666914232,buy,144.81,1.79,259.2099,-3.9173733538191391,-0.12960495
SOL/USDT:USDT,487895883,2024-10-12 01:35:15.442,1728668115442,buy,145.85,0.46,67.091,-1.4850992976294994,-0.0335455
SOL/USDT:USDT,487895884,2024-10-12 01:35:15.442,1728668115442,buy,145.85,0.28,40.838,-0.9039734855136084,-0.020419
SOL/USDT:USDT,487895885,2024-10-12 01:35:15.442,1728668115442,buy,145.85,0.01,1.4585,-0.0322847673397717,-0.00072925
SOL/USDT:USDT,487895886,2024-10-12 01:35:15.442,1728668115442,buy,145.85,0.28,40.838,-0.9039734855136084,-0.020419
SOL/USDT:USDT,487895887,2024-10-12 01:35:15.442,1728668115442,buy,145.85,0.01,1.4585,-0.0322847673397717,-0.00072925
SOL/USDT:USDT,487895888,2024-10-12 01:35:15.442,1728668115442,buy,145.85,1.77,258.1545,-5.7144038191395957,-0.12907725
SOL/USDT:USDT,487999471,2024-10-12 05:35:14.268,1728682514268,buy,146.33,5.46,798.9618,-20.2482829675153629,-0.3994809
SOL/USDT:USDT,488015913,2024-10-12 06:30:14.812,1728685814812,buy,145.59,1.82,264.9738,0,-0.1324869
SOL/USDT:USDT,488031623,2024-10-12 07:25:14.314,1728689114314,buy,145.66,2.17,316.0822,0,-0.1580411
SOL/USDT:USDT,488031624,2024-10-12 07:25:14.314,1728689114314,buy,145.67,1.47,214.1349,0,-0.10706745
SOL/USDT:USDT,488047170,2024-10-12 08:15:13.998,1728692113998,buy,146.03,1.8,262.854,0,-0.131427
SOL/USDT:USDT,488507791,2024-10-13 17:35:14.090,1728812114090,buy,146.93,1.77,260.0661,0,-0.13003305
SOL/USDT:USDT,488593500,2024-10-13 20:25:14.293,1728822314293,buy,147.54,1.76,259.6704,0,-0.1298352
SOL/USDT:USDT,488599109,2024-10-13 20:40:14.061,1728823214061,buy,147.26,2.73,402.0198,0,-0.2010099
SOL/USDT:USDT,488666851,2024-10-13 23:00:14.333,1728831614333,buy,145.35,1.06,154.071,0,-0.0770355
SOL/USDT:USDT,488727170,2024-10-14 00:35:14.249,1728837314249,sell,145.84,1.87,272.7208,-0.96514060356653,-0.1363604
SOL/USDT:USDT,488978488,2024-10-14 10:50:14.163,1728874214163,buy,148.17,1.47,217.8099,0,-0.10890495
SOL/USDT:USDT,488978489,2024-10-14 10:50:14.163,1728874214163,buy,148.17,0.14,20.7438,0,-0.0103719
SOL/USDT:USDT,489066345,2024-10-14 11:50:14.769,1728877814769,buy,151.82,1.44,218.6208,0,-0.1093104
SOL/USDT:USDT,489071804,2024-10-14 11:55:14.324,1728878114324,buy,151.83,1.74,264.1842,0,-0.1320921
SOL/USDT:USDT,489095936,2024-10-14 12:05:15.341,1728878715341,buy,152.67,1.41,215.2647,0,-0.10763235
SOL/USDT:USDT,489095937,2024-10-14 12:05:15.341,1728878715341,buy,152.67,0.26,39.6942,0,-0.0198471
SOL/USDT:USDT,490731281,2024-10-15 23:10:14.917,1729005014917,buy,150.51,1.03,155.0253,0,-0.07751265
SOL/USDT:USDT,492889307,2024-10-18 02:15:14.224,1729188914224,sell,148.14,2.31,342.2034,0.1027882076355773,-0.1711017
SOL/USDT:USDT,492905741,2024-10-18 02:30:14.112,1729189814112,sell,148.22,2.68,397.2296,0.3336521196811027,-0.1986148
SOL/USDT:USDT,492918495,2024-10-18 02:45:14.153,1729190714153,sell,148.78,2.62,389.8036,1.7933822961061526,-0.1949018
SOL/USDT:USDT,492918496,2024-10-18 02:45:14.154,1729190714154,sell,148.78,0.05,7.439,0.0342248529791251,-0.0037195
SOL/USDT:USDT,492918497,2024-10-18 02:45:14.154,1729190714154,sell,148.77,0.94,139.8438,0.6340272360075509,-0.0699219
SOL/USDT:USDT,493083026,2024-10-18 09:35:14.220,1729215314220,sell,151.53,1.02,154.5606,3.503187000774151,-0.0772803
SOL/USDT:USDT,493234980,2024-10-18 14:45:14.052,1729233914052,buy,153.8,1.63,250.694,0,-0.125347
SOL/USDT:USDT,493275298,2024-10-18 16:15:14.197,1729239314197,buy,153.71,1.76,270.5296,0,-0.1352648
SOL/USDT:USDT,493574911,2024-10-19 00:55:14.130,1729270514130,buy,156.04,2.48,386.9792,0,-0.1934896
SOL/USDT:USDT,493999441,2024-10-19 22:55:14.354,1729349714354,buy,156.47,2.49,389.6103,0,-0.19480515
SOL/USDT:USDT,499984577,2024-10-24 17:15:16.066,1729761316066,sell,172.21,8.66,1491.3386,181.5188485317167659,-0.7456693
SOL/USDT:USDT,502309692,2024-10-26 04:55:14.103,1729889714103,sell,167.14,1.12,187.1968,17.7974787939402746,-0.0935984
SOL/USDT:USDT,502576310,2024-10-26 07:20:14.885,1729898414885,sell,162.9,0.68,110.772,7.9224121248923096,-0.0221544
SOL/USDT:USDT,502808549,2024-10-26 07:40:14.375,1729899614375,sell,163.48,1.9,310.612,23.2381515254343944,-0.155306
SOL/USDT:USDT,502929119,2024-10-26 08:35:14.134,1729902914134,sell,165.71,0.57,94.4547,8.2425454576303183,-0.04722735
SOL/USDT:USDT,503181521,2024-10-26 13:05:14.314,1729919114314,sell,166.81,2.8,467.068,43.5696969848506864,-0.233534
SOL/USDT:USDT,503318992,2024-10-26 16:05:14.296,1729929914296,buy,167.69,0.9,150.921,0,-0.0754605
SOL/USDT:USDT,503412288,2024-10-26 18:30:14.318,1729938614318,buy,170.26,0.84,143.0184,0,-0.0715092
SOL/USDT:USDT,503521458,2024-10-26 21:25:14.226,1729949114226,buy,168.93,2.3,388.539,0,-0.1942695
SOL/USDT:USDT,503678844,2024-10-27 00:25:14.386,1729959914386,buy,169.09,0.17,28.7453,0,-0.01437265
SOL/USDT:USDT,503678845,2024-10-27 00:25:14.386,1729959914386,buy,169.09,0.01,1.6909,0,-0.00084545
SOL/USDT:USDT,503678846,2024-10-27 00:25:14.386,1729959914386,buy,169.09,0.05,8.4545,0,-0.00422725
SOL/USDT:USDT,503678847,2024-10-27 00:25:14.386,1729959914386,buy,169.09,0.04,6.7636,0,-0.0033818
SOL/USDT:USDT,503678848,2024-10-27 00:25:14.386,1729959914386,buy,169.09,0.63,106.5267,0,-0.05326335
SOL/USDT:USDT,503793731,2024-10-27 03:15:14.233,1729970114233,buy,172.05,0.76,130.758,0,-0.065379
SOL/USDT:USDT,503871414,2024-10-27 05:15:14.103,1729977314103,buy,172.38,1.32,227.5416,0,-0.1137708
SOL/USDT:USDT,508163329,2024-10-30 17:40:14.976,1730281214976,sell,178.15,1.52,270.788,21.3966292392292783,-0.135394
SOL/USDT:USDT,508350501,2024-10-30 21:10:14.619,1730293814619,sell,175.03,0.77,134.7731,8.4366819172411476,-0.06738655
SOL/USDT:USDT,508405621,2024-10-30 21:55:14.277,1730296514277,sell,176.08,1.79,315.1832,21.4920462751450054,-0.1575916
SOL/USDT:USDT,508445260,2024-10-30 22:20:14.378,1730298014378,sell,176.15,0.87,153.2505,10.5067548935062317,-0.07662525
SOL/USDT:USDT,508601246,2024-10-31 00:40:14.452,1730306414452,sell,174.91,0.86,150.4226,9.3195875958797233,-0.0752113
SOL/USDT:USDT,508680601,2024-10-31 02:50:14.241,1730314214241,sell,174.25,2.21,385.0925,22.4905727754583586,-0.19254625
